t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
1.97,0.166462766835367,0,0,0.166462766835367,0,0,0.0966056730509266,-0,-0
1.98,0.16712691554708,0,0,0.16712691554708,0,0,0.0955863420707962,-0,-0
1.99,0.167787005156079,0,0,0.167787005156079,0,0,0.0945801203744835,-0,-0
2,0.168443048788874,0,0,0.168443048788874,0,0,0.0935868055404042,-0,-0
2.01,0.169095059743594,0,0,0.169095059743594,0,0,0.0926061982719745,-0,-0
2.02,0.169743051489996,0,0,0.169743051489996,0,0,0.0916381023976148,-0,-0
2.03,0.170387037669458,0,0,0.170387037669458,0,0,0.0906823248707455,-0,-0
2.04,0.171027032094982,0,0,0.171027032094982,0,0,0.0897386757697889,-0,-0
2.05,0.171663048749197,0,0,0.171663048749197,0,0,0.0888069682786404,-0,-0
2.06,0.172295101319878,0,0,0.172295101319878,0,0,0.0878870134198124,-0,-0
2.07,0.172923204923409,0,0,0.172923204923409,0,0,0.0869786350506897,-0,-0
2.08,0.17354737562241,0,0,0.17354737562241,0,0,0.0860816672760401,-0,-0
2.09,0.174167629509271,0,0,0.174167629509271,0,0,0.0851959460952154,-0,-0
2.1,0.174783982706154,0,0,0.174783982706154,0,0,0.0843213094021506,-0,-0
2.11,0.175396451364993,0,0,0.175396451364993,0,0,0.083457596985364,-0,-0
2.12,0.176005051667491,0,0,0.176005051667491,0,0,0.0826046505279578,-0,-0
2.13,0.176609799825126,0,0,0.176609799825126,0,0,0.0817623136076168,-0,-0
2.14,0.177210712079143,0,0,0.177210712079143,0,0,0.0809304316966095,-0,-0
2.15,0.177807804700562,0,0,0.177807804700562,0,0,0.0801088521617884,-0,-0
2.16,0.178401093990173,0,0,0.178401093990173,0,0,0.0792974242645891,-0,-0
2.17,0.178990596278535,0,0,0.178990596278535,0,0,0.0784959991610298,-0,-0
2.18,0.179576327925983,0,0,0.179576327925983,0,0,0.0777044299017132,-0,-0
2.19,0.180158305322619,0,0,0.180158305322619,0,0,0.0769225714318243,-0,-0
2.2,0.180736544888319,0,0,0.180736544888319,0,0,0.0761502805911329,-0,-0
2.21,0.181311063072729,0,0,0.181311063072729,0,0,0.0753874161139909,-0,-0
2.22,0.181881876355266,0,0,0.181881876355266,0,0,0.0746338386293343,-0,-0
2.23,0.18244900124512,0,0,0.18244900124512,0,0,0.0738894106606826,-0,-0
2.24,0.183012454281251,0,0,0.183012454281251,0,0,0.0731539966261379,-0,-0
2.25,0.18357225203239,0,0,0.18357225203239,0,0,0.0724274628383863,-0,-0
2.26,0.184128411097041,0,0,0.184128411097041,0,0,0.0717096775046976,-0,-0
2.27,0.184680948103477,0,0,0.184680948103477,0,0,0.0710005107269245,-0,-0
2.28,0.185229879709744,0,0,0.185229879709744,0,0,0.0702998345015029,-0,-0
2.29,0.185775222603659,0,0,0.185775222603659,0,0,0.0696075227194529,-0,-0
2.3,0.18631699350281,0,0,0.18631699350281,0,0,0.0689234511663773,-0,-0
2.31,0.186855209154556,0,0,0.186855209154556,0,0,0.0682474975224625,-0,-0
