t,phi,theta,psi,phi_b,theta_b,psi_b,tau_x,tau_y,tau_z
2.95,0.229858628270645,0,0,0.229858628270645,0,0,0.0129966568312692,-0,-0
2.96,0.230153310867241,0,0,0.230153310867241,0,0,0.0127955492937846,-0,-0
2.97,0.230445403183364,0,0,0.230445403183364,0,0,0.0125976664190341,-0,-0
2.98,0.230734925628019,0,0,0.230734925628019,0,0,0.0124029543003947,-0,-0
2.99,0.231021898473234,0,0,0.231021898473234,0,0,0.012211359735806,-0,-0
3,0.231306341854061,0,0,0.231306341854061,0,0,0.012022830227771,-0,-0
3.01,0.231588275768573,0,0,0.231588275768573,0,0,0.0118373139833551,-0,-0
3.02,0.231867720077868,0,0,0.231867720077868,0,0,0.0116547599141868,-0,-0
3.03,0.232144694506066,0,0,0.232144694506066,0,0,0.0114751176364576,-0,-0
3.04,0.232419218640309,0,0,0.232419218640309,0,0,0.0112983374709215,-0,-0
3.05,0.232691311930764,0,0,0.232691311930764,0,0,0.011124370442896,-0,-0
3.06,0.232960993690618,0,0,0.232960993690618,0,0,0.0109531682822605,-0,-0
3.07,0.233228283096085,0,0,0.233228283096085,0,0,0.0107846834234586,-0,-0
3.08,0.233493199186397,0,0,0.233493199186397,0,0,0.0106188690054951,-0,-0
3.09,0.233755760957801,0,0,0.233755760957801,0,0,0.0104556788643525,-0,-0
3.1,0.234015988266724,0,0,0.234015988266724,0,0,0.0102950694421144,-0,-0
3.11,0.234273900364886,0,0,0.234273900364886,0,0,0.0101370016485885,-0,-0
3.12,0.234529516149642,0,0,0.234529516149642,0,0,0.0099814372039003,-0,-0
3.13,0.234782854394665,0,0,0.234782854394665,0,0,0.00982833820484702,-0,-0
3.14,0.235033933749956,0,0,0.235033933749956,0,0,0.00967766712489659,-0,-0
3.15,0.235282772741837,0,0,0.235282772741837,0,0,0.00952938681418808,-0,-0
3.16,0.235529389772955,0,0,0.235529389772955,0,0,0.00938346049953134,-0,-0
3.17,0.235773803122279,0,0,0.235773803122279,0,0,0.00923985178440728,-0,-0
3.18,0.236016030945104,0,0,0.236016030945104,0,0,0.00909852464896765,-0,-0
3.19,0.236256091273046,0,0,0.236256091273046,0,0,0.00895944345003508,-0,-0
3.2,0.236494002014046,0,0,0.236494002014046,0,0,0.00882257292110339,-0,-0
