Time_s,Signal,Primary,Secondary,TrueAmp,TrueFreq_Primary_Hz,TrueFreq_Secondary_Hz
50.45,0.655114951797785,0.465241600610357,0.181142221099658,0.603807403665526,0.8,5
50.46,0.626490595783339,0.445271351199761,0.172259262965388,0.603747025944095,0.8,5
50.47,0.577853453562616,0.424180409383859,0.146517828772148,0.603686654260135,0.8,5
50.48,0.512179083410751,0.402022271711574,0.106440789102814,0.603626288613042,0.8,5
50.49,0.416554749326252,0.378853119604081,0.0559536387862311,0.603565929002212,0.8,5
50.5,0.353315712599655,0.354731676912295,1.82725520369684e-14,0.603505575427041,0.8,5
50.51,0.279790511868332,0.329719061081202,-0.0559424491774373,0.603445227886925,0.8,5
50.52,0.1793875118096,0.303878628297977,-0.106398221301304,0.603384886381262,0.8,5
50.53,0.126656742603542,0.277275813016489,-0.146429944442798,0.603324550909448,0.8,5
50.54,0.089831920787638,0.249977962264461,-0.172121510663272,0.603264221470879,0.8,5
50.55,0.0414306285963152,0.222054165152821,-0.180961169419486,0.603203898064953,0.8,5
50.56,0.0350510827584809,0.193575078019028,-0.172087089803346,0.603143580691065,0.8,5
50.57,0.014858077216479,0.164612745646831,-0.146371384177865,0.603083269348613,0.8,5
50.58,0.0412927609558031,0.13524041901454,-0.106334401516421,0.603022964036994,0.8,5
50.59,0.0512326715819049,0.105532370033407,-0.0558977131149233,0.602962664755605,0.8,5
50.6,0.0823462736213996,0.0755637037441631,3.58434777393166e-16,0.602902371503842,0.8,5
50.61,0.086879373620748,0.0454101684466973,0.0558865346901808,0.602842084281103,0.8,5
50.62,0.106644551015705,0.015147964243098,0.106291876261367,0.602781803086785,0.8,5
50.63,0.136020648969844,-0.015146449522369,0.146283587688916,0.602721527920285,0.8,5
50.64,0.122965833362781,-0.0453965474394089,0.17194947518469,0.602661258781,0.8,5
50.65,0.0870025592534815,-0.0755259313361723,0.180780298700498,0.602600995668328,0.8,5
50.66,0.0619259048132914,-0.105458523223775,0.17191508872842,0.602540738581665,0.8,5
50.67,0.00755082566333544,-0.135118757393361,0.146225085955004,0.602480487520411,0.8,5
50.68,-0.0667513478396688,-0.1644317711808,0.106228120264373,0.602420242483961,0.8,5
50.69,-0.149949975566094,-0.19332359391768,0.0558418433413724,0.602360003471713,0.8,5
50.7,-0.219503679212273,-0.221721333591162,-1.89521964971942e-14,0.602299770483065,0.8,5
50.71,-0.302027714286193,-0.249553360742157,-0.0558306760894244,0.602239543517416,0.8,5
50.72,-0.390960028576736,-0.276749489137771,-0.106185637513348,0.602179322574161,0.8,5
50.73,-0.436141085549568,-0.303241152762129,-0.146137377218681,0.6021191076527,0.8,5
50.74,-0.505613276614792,-0.32896157867938,-0.171777611655598,0.60205889875243,0.8,5
50.75,-0.554252541313907,-0.353845955333295,-0.180599608761825,0.601998695872749,0.8,5
50.76,-0.54934582358192,-0.377831595858776,-0.171743259568598,0.601938499013055,0.8,5
50.77,-0.538800845026763,-0.400858095994288,-0.14607893395724,0.601878308172746,0.8,5
50.78,-0.547964682801481,-0.422867486197135,-0.106121945240453,0.60181812335122,0.8,5
50.79,-0.480815269251056,-0.44380437757855,-0.0557860294096304,0.601757944547875,0.8,5
50.8,-0.466522782737169,-0.463616101291377,-4.45773513998879e-14,0.601697771762109,0.8,5
50.81,-0.434706783447927,-0.48225284101943,0.0557748733193879,0.601637604993322,0.8,5
50.82,-0.390751201642583,-0.499667758235194,0.106079504950975,0.60157744424091,0.8,5
50.83,-0.375220767909296,-0.515817109911264,0.145991312885788,0.601517289504273,0.8,5
