Time_s,Position_Z_m,Velocity_Z_m_s
8.86,-0.869632065296173,-0.0381767749786377
8.88,-0.870406210422516,-0.0396281480789185
8.9,-0.87121719121933,-0.0400334596633911
8.92,-0.872007548809052,-0.0396132469177246
8.94,-0.872801721096039,-0.0396981835365295
8.96,-0.873595476150513,-0.0372201204299927
8.98,-0.874290525913239,-0.0343978404998779
9,-0.874971389770508,-0.0328093767166138
9.02,-0.875602900981903,-0.030517578125
9.04,-0.876192092895508,-0.0292062759399414
9.06,-0.876771152019501,-0.0306800007820129
9.08,-0.877419292926788,-0.0351458787918091
9.1,-0.878176987171173,-0.030633807182312
9.12,-0.878644645214081,-0.0221490859985352
9.14,-0.879062950611115,-0.0219389796257019
9.16,-0.879522204399109,-0.0227808952331543
9.18,-0.879974186420441,-0.0225722789764404
9.2,-0.880425095558167,-0.0249221920967102
9.22,-0.880971074104309,-0.0222101807594299
9.24,-0.881313502788544,-0.0153914093971252
9.26,-0.881586730480194,-0.014825165271759
9.28,-0.881906509399414,-0.0129684805870056
9.3,-0.882105469703674,-0.00871568918228149
9.32,-0.882255136966705,-0.00932365655899048
9.34,-0.882478415966034,-0.0122681260108948
9.36,-0.882745862007141,-0.0143721699714661
9.38,-0.883053302764893,-0.0142231583595276
9.4,-0.883314788341522,-0.0120952725410461
9.42,-0.883537113666534,-0.0117868185043335
9.44,-0.883786261081696,-0.0136584043502808
9.46,-0.884083449840546,-0.0145316123962402
9.48,-0.884367525577545,-0.0142142176628113
9.5,-0.884652018547058,-0.0144213438034058
9.52,-0.884944379329681,-0.0148698687553406
9.54,-0.885246813297272,-0.0164985656738281
9.56,-0.885604321956635,-0.0182256102561951
9.58,-0.88597583770752,-0.0173091888427734
9.6,-0.886296689510345,-0.0146046280860901
9.62,-0.886560022830963,-0.0148221850395203
9.64,-0.886889576911926,-0.0183537602424622
9.66,-0.887294173240662,-0.0197499990463257
9.68,-0.887679576873779,-0.0188767910003662
9.7,-0.888049244880676,-0.020773708820343
9.72,-0.888510525226593,-0.0255927443504333
9.74,-0.889072954654694,-0.0275567173957825
9.76,-0.889612793922424,-0.0259265303611755
9.78,-0.890110015869141,-0.0244975090026855
9.8,-0.890592694282532,-0.0284463167190552
9.82,-0.891247868537903,-0.0325441360473633
9.84,-0.891894459724426,-0.0322207808494568
9.86,-0.892536699771881,-0.0307872891426086
9.88,-0.893125951290131,-0.0316336750984192
9.9,-0.893802046775818,-0.0359117984771729
9.92,-0.894562423229218,-0.0350430607795715
9.94,-0.895203769207001,-0.0305458903312683
9.96,-0.895784258842468,-0.0307723879814148
9.98,-0.896434664726257,-0.0344082713127136
10,-0.897160589694977,-0.0355422496795654
10.02,-0.89785635471344,-0.0349655747413635
10.04,-0.898559212684631,-0.0354945659637451
10.06,-0.89927613735199,-0.0356808304786682
10.08,-0.899986445903778,-0.0347569584846497
10.1,-0.900666415691376,-0.0334233045578003
10.12,-0.90132337808609,-0.0317990779876709
10.14,-0.901938378810883,-0.029522180557251
10.16,-0.90250426530838,-0.03252774477005
10.18,-0.903239488601685,-0.0341892242431641
10.2,-0.903871834278107,-0.0307217240333557
10.22,-0.904468357563019,-0.0307649374008179
10.24,-0.905102431774139,-0.0323325395584106
10.26,-0.905761659145355,-0.0312700867652893
10.28,-0.906353235244751,-0.028616189956665
10.3,-0.906906306743622,-0.0257134437561035
10.32,-0.907381772994995,-0.024782121181488
10.34,-0.907897591590881,-0.0260606408119202
10.36,-0.908424198627472,-0.0259026885032654
10.38,-0.908933699131012,-0.0264436006546021
10.4,-0.909481942653656,-0.0269517302513123
10.42,-0.910011768341064,-0.0258982181549072
10.44,-0.910517871379852,-0.0235840678215027
10.46,-0.910955131053925,-0.0207513570785522
10.48,-0.911347925662994,-0.0208646059036255
10.5,-0.91178971529007,-0.023283064365387
10.52,-0.91227924823761,-0.0252619385719299
10.54,-0.912800192832947,-0.0255972146987915
10.56,-0.913303136825562,-0.0237047672271729
10.58,-0.913748383522034,-0.0235676765441895
10.6,-0.914245843887329,-0.0258669257164001
10.62,-0.91478306055069,-0.0265359878540039
10.64,-0.915307283401489,-0.0241219997406006
10.66,-0.915747940540314,-0.0230804085731506
10.68,-0.916230499744415,-0.0251814723014832
10.7,-0.916755199432373,-0.0266343355178833
10.72,-0.917295873165131,-0.0268667936325073
10.74,-0.917829871177673,-0.024750828742981
10.76,-0.91828590631485,-0.0215932726860046
10.78,-0.918693602085114,-0.0205144286155701
10.8,-0.919106483459473,-0.0201493501663208
10.82,-0.919499576091766,-0.0174000859260559
10.84,-0.919802486896515,-0.0163048505783081
10.86,-0.920151770114899,-0.0179603695869446
10.88,-0.920520901679993,-0.0171840190887451
10.9,-0.920839130878448,-0.0147253274917603
10.92,-0.921109914779663,-0.0112980604171753
10.94,-0.921291053295135,-0.0069350004196167
10.96,-0.921387314796448,-0.00523924827575684
10.98,-0.921500623226166,-0.00396668910980225
11,-0.92154598236084,-0.00101923942565918
11.02,-0.921541392803192,0.00219792127609253
11.04,-0.921458065509796,0.00429004430770874
11.06,-0.921369791030884,0.00503510236740112
11.08,-0.9212566614151,0.00784546136856079
11.1,-0.921055972576141,0.0155583024024963
11.12,-0.920634329319,0.020696222782135
11.14,-0.920228123664856,0.019623339176178
11.16,-0.919849395751953,0.0203385949134827
11.18,-0.919414579868317,0.0230267643928528
11.2,-0.918928325176239,0.0279620289802551
11.22,-0.918296098709106,0.0320464372634888
11.24,-0.917646467685699,0.0340312719345093
11.26,-0.916934847831726,0.0339880585670471
11.28,-0.916286945343018,0.0348731875419617
11.3,-0.915539920330048,0.0357106328010559
11.32,-0.914858520030975,0.0342071056365967
11.34,-0.914171636104584,0.0348851084709167
11.36,-0.913463115692139,0.0348180532455444
11.38,-0.912778913974762,0.035509467124939
11.4,-0.912042737007141,0.0354200601577759
11.42,-0.911362111568451,0.0333845615386963
11.44,-0.910707354545593,0.0303730368614197
11.46,-0.910147190093994,0.0285759568214417
11.48,-0.909564316272736,0.030304491519928
11.5,-0.908935010433197,0.0318408012390137
11.52,-0.908290684223175,0.0300541520118713
11.54,-0.907732844352722,0.0267088413238525
11.56,-0.907222330570221,0.0250458717346191
11.58,-0.906731009483337,0.0265911221504211
11.6,-0.906158685684204,0.0281006097793579
11.62,-0.905606985092163,0.0264585018157959
11.64,-0.905100345611572,0.0261753797531128
11.66,-0.904559969902039,0.026334822177887
11.68,-0.904046952724457,0.0256001949310303
11.7,-0.903535962104797,0.023360550403595
11.72,-0.903112530708313,0.0213965773582458
11.74,-0.902680099010468,0.0205740332603455
11.76,-0.902289569377899,0.0218465924263
11.78,-0.901806235313416,0.0256463885307312
11.8,-0.90126371383667,0.026276707649231
11.82,-0.900755167007446,0.024375319480896
11.84,-0.900288701057434,0.0245779752731323
11.86,-0.899772047996521,0.0285133719444275
11.88,-0.899148166179657,0.0319585204124451
