TimeUS,PLX,PLY,PLZ,AX,AY,BX,BY,CX,CY,PRX,PRY,PRZ,ERR,EST_FREQ,CORR
185961939,-0.11633127927780151,0.10011190176010132,5.103653430938721,-0.2502736449241638,-0.06805325299501419,-0.026619140058755875,0.044625844806432724,0.20060384273529053,-0.0038581218104809523,0.07756411284208298,0.010357390157878399,4.9328765869140625,-0.00024325614504050463,0.579360842704773,0.0006639748462475836
185971739,-0.14307744801044464,0.3001232147216797,5.182771682739258,-0.25452327728271484,-0.06220628321170807,-0.030246946960687637,0.04961724579334259,0.19726680219173431,0.000733221706468612,0.06122197210788727,0.019033143296837807,4.918105125427246,-0.00033250663545913994,0.5793465375900269,0.0006639748462475836
185981779,0.039705708622932434,0.13527798652648926,5.541888236999512,-0.25480249524116516,-0.05977955088019371,-0.030474744737148285,0.051597148180007935,0.19705209136009216,0.002599341794848442,0.052860528230667114,0.020942585542798042,4.9167962074279785,-0.00037270624306984246,0.5793400406837463,0.0006639748462475836
185991913,-0.14959833025932312,-0.22942475974559784,5.75439453125,-0.25887176394462585,-0.06495020538568497,-0.03364359214901924,0.04757062718272209,0.19400706887245178,-0.001269831438548863,0.037424489855766296,0.008217099122703075,4.922904968261719,-0.00041253704694099724,0.5793336629867554,0.0006639748462475836
186001743,-0.056644685566425323,-0.34505268931388855,5.980487823486328,-0.26071956753730774,-0.07242830097675323,-0.035019729286432266,0.042001355439424515,0.19265995919704437,-0.00672164186835289,0.026439249515533447,-0.008809047751128674,4.936826705932617,-0.0004833473649341613,0.5793222784996033,0.0006639748462475836
186012306,-0.24424707889556885,-0.1564808040857315,5.902461528778076,-0.26645293831825256,-0.07557862251996994,-0.03908807039260864,0.039765916764736176,0.18859292566776276,-0.008956363424658775,0.00777125358581543,-0.018003838136792183,4.943055152893066,-7.102480594767258e-05,0.5793885588645935,0.0006639748462475836
186021801,-0.2394120842218399,0.15991312265396118,5.659358024597168,-0.2717753052711487,-0.0715838298201561,-0.042733266949653625,0.04250187426805496,0.1848977506160736,-0.006182894576340914,-0.008430182933807373,-0.013453860767185688,4.94412899017334,-0.00013630306057166308,0.579378068447113,0.0006639748462475836
186031690,0.05617420747876167,0.03812280297279358,5.711980819702148,-0.2701701819896698,-0.07036004215478897,-0.041676830500364304,0.04330733045935631,0.18598677217960358,-0.0053525990806519985,-0.012519210577011108,-0.014250971376895905,4.94303035736084,-0.00016986420087050647,0.5793726444244385,0.0006639748462475836
186041896,-0.20844237506389618,-0.06768745929002762,5.536713123321533,-0.27446117997169495,-0.07150421291589737,-0.044394224882125854,0.04258275404572487,0.18313927948474884,-0.006111868191510439,-0.026912301778793335,-0.01928352378308773,4.933614730834961,-0.0002709164109546691,0.5793564319610596,0.0006639748462475836
186051701,-0.41704636812210083,0.2866375744342804,5.5906147956848145,-0.2832430303096771,-0.06443320214748383,-0.049750689417123795,0.046895697712898254,0.1774347573518753,-0.0015186717500910163,-0.048962876200675964,-0.009737477637827396,4.925439357757568,-0.00029894549516029656,0.5793519020080566,0.0006639748462475836
186061886,-0.27384811639785767,0.36339396238327026,5.846315860748291,-0.2882827818393707,-0.05576365441083908,-0.052713822573423386,0.051992982625961304,0.17422771453857422,0.003998187370598316,-0.06410780549049377,0.0025913910940289497,4.926603317260742,-0.0003697558131534606,0.5793405175209045,0.0006639748462475836
186071686,-0.24757331609725952,-0.21885602176189423,5.767487525939941,-0.29239484667778015,-0.06083196774125099,-0.05504569038748741,0.049118850380182266,0.17166244983673096,0.0008363769156858325,-0.07730253040790558,-0.00898977555334568,4.923195838928223,-0.0003845079627353698,0.5793381333351135,0.0006639748462475836
186081732,-0.030075926333665848,-0.41419610381126404,5.777456760406494,-0.29116252064704895,-0.07018956542015076,-0.05437145754694939,0.0439990870654583,0.17241662740707397,-0.004890448413789272,-0.08094516396522522,-0.027922887355089188,4.918916702270508,-0.00024768177536316216,0.5793601274490356,0.0006639748462475836
186092306,-0.16983143985271454,-0.2607845962047577,5.446314334869385,-0.2930987775325775,-0.07555136829614639,-0.055387645959854126,0.04118509218096733,0.17125540971755981,-0.008106058463454247,-0.09018588066101074,-0.04023318737745285,4.896169185638428,-4.447093670023605e-05,0.5793928503990173,0.0006639748462475836
