TimeUS,DPE,TPE,PE,DVE,TVE,VE,DAE,TAE,AE
318829335,-0.7471333742141724,-0.7471333742141724,-0.8501511812210083,-0.0167327169328928,0.3953384459018707,0.04251517727971077,0.0033510630019009113,0.026223596185445786,0.11655710637569427
318929338,-0.7487899661064148,-0.7487899661064148,-0.8510364890098572,-0.01639915071427822,0.39258697628974915,0.053882282227277756,0.0033194394782185555,-0.06351926922798157,0.07023128867149353
319029495,-0.7504133582115173,-0.7504133582115173,-0.8501102924346924,-0.01606876030564308,0.3827190399169922,0.06198335066437721,0.0032875724136829376,-0.08040722459554672,-0.0013721345458179712
319129409,-0.7520038485527039,-0.7520038485527039,-0.8495421409606934,-0.015741560608148575,0.37441158294677734,0.056223757565021515,0.0032554753124713898,-0.006198021117597818,-0.012696953490376472
319229383,-0.7535618543624878,-0.7535618543624878,-0.8485895991325378,-0.01541757583618164,0.36469343304634094,0.046247269958257675,0.003223166335374117,0.02006569132208824,-0.029060116037726402
319329373,-0.7550874948501587,-0.7550874948501587,-0.8487833142280579,-0.015096858143806458,0.35968658328056335,0.0351872593164444,0.0031906627118587494,0.11628983169794083,-0.001182948937639594
319429429,-0.7565812468528748,-0.7565812468528748,-0.8487386703491211,-0.014779385179281235,0.3538503646850586,0.03364754468202591,0.003157975384965539,0.04462349787354469,0.001951334998011589
319529332,-0.7580434083938599,-0.7580434083938599,-0.8491628766059875,-0.014465183950960636,0.35001254081726074,0.04095110669732094,0.003125118790194392,-0.08492662012577057,0.016843942925333977
319629471,-0.7594743967056274,-0.7594743967056274,-0.8487797975540161,-0.014154277741909027,0.34306731820106506,0.03550267964601517,0.003092109691351652,-0.07184634357690811,-0.014622092247009277
319729349,-0.7608743906021118,-0.7608743906021118,-0.8482428789138794,-0.013846682384610176,0.33562707901000977,0.04012270271778107,0.0030589608941227198,-0.11521320790052414,-0.025508645921945572
319829335,-0.7622438669204712,-0.7622438669204712,-0.8476429581642151,-0.01354240532964468,0.3280540406703949,0.025960035622119904,0.0030256863683462143,0.06294608116149902,-0.031384680420160294
